client_id,signup_date,industry,plan_type,contract_length_months,monthly_revenue,onboarding_days,support_tickets_90d,avg_logins_per_week,days_since_last_login,late_payments_count,nps_score,churned
CLT-1031,2023-10-02,Real Estate,Enterprise,24,3028.98,36,1,4.0,8,1,32.0,0
CLT-1032,2023-12-30,Healthcare,Basic,12,256.22,11,2,5.6,8,0,74.0,0
CLT-1033,2024-04-11,eCommerce,Basic,12,364.77,18,3,7.9,3,1,2.0,1
CLT-1034,2025-04-08,Healthcare,Basic,12,348.65,8,3,9.5,9,3,13.0,0
CLT-1035,2024-05-05,Finance,Basic,12,300.76,18,2,5.9,7,1,49.0,0
CLT-1036,2023-12-15,Real Estate,Basic,6,286.93,21,3,5.4,21,0,,0
CLT-1037,2024-08-17,Education,Basic,1,369.38,9,5,1.7,4,5,23.0,1
CLT-1038,2024-11-26,Finance,Basic,12,373.45,14,3,9.8,25,1,28.0,1
CLT-1039,2024-01-23,Finance,Pro,12,896.69,7,6,6.5,37,3,53.0,0
CLT-1040,2024-03-16,Healthcare,Basic,1,397.72,5,2,5.4,7,2,42.0,0
CLT-1041,2023-07-16,Finance,Pro,6,865.17,22,3,5.3,41,1,12.0,1
CLT-1042,2025-02-17,Finance,Pro,6,757.73,10,5,6.1,26,3,36.0,0
CLT-1043,2025-02-19,Finance,Basic,6,347.98,1,2,7.3,9,2,29.0,0
CLT-1044,2023-06-07,Healthcare,Pro,12,777.82,28,1,7.7,12,1,42.0,1
CLT-1045,2023-11-08,eCommerce,Pro,12,869.4,8,2,9.8,8,1,22.0,1
CLT-1046,2023-09-02,Logistics,Basic,12,331.29,12,5,5.7,15,2,0.0,1
CLT-1047,2025-04-10,Finance,Basic,6,291.54,27,1,10.3,1,2,47.0,0
CLT-1048,2023-02-28,Finance,Pro,1,836.1,13,3,8.2,8,0,44.0,0
CLT-1049,2023-07-06,Real Estate,Basic,12,366.57,13,2,4.8,0,2,65.0,1
CLT-1050,2023-10-11,eCommerce,Basic,12,338.46,4,3,0.0,45,1,-3.0,1
CLT-1051,2024-05-19,Healthcare,Basic,1,391.16,1,2,5.3,28,0,28.0,0
CLT-1052,2023-08-13,Logistics,Pro,6,1033.87,13,4,9.7,2,2,24.0,0
CLT-1053,2024-04-27,Real Estate,Pro,12,981.06,17,5,2.7,3,2,20.0,0
CLT-1054,2024-11-03,Healthcare,Pro,12,861.08,16,4,5.2,6,0,-9.0,0
CLT-1055,2025-01-15,Healthcare,Pro,24,1147.72,10,9,5.5,13,0,3.0,0
CLT-1056,2023-03-31,SaaS,Basic,12,275.44,14,2,7.8,12,3,37.0,0
CLT-1057,2023-05-05,Healthcare,Pro,12,850.8,1,2,3.8,4,0,18.0,0
CLT-1058,2023-03-27,Logistics,Basic,12,391.49,18,7,,6,0,9.0,1
CLT-1059,2025-03-29,eCommerce,Basic,6,373.41,15,2,6.7,2,0,66.0,0
CLT-1060,2024-08-09,Finance,Pro,12,1050.95,30,3,2.8,3,1,89.0,0
CLT-1061,2024-04-23,SaaS,Basic,12,247.01,14,2,0.0,3,0,29.0,0
CLT-1062,2024-12-12,Logistics,Pro,6,788.72,6,3,10.5,31,0,-8.0,0
CLT-1063,2024-06-11,Real Estate,Pro,24,989.98,14,1,7.8,26,1,40.0,0
CLT-1064,2023-07-31,Education,Pro,6,1123.02,11,6,10.7,14,0,-22.0,0
CLT-1065,2024-04-04,Finance,Pro,1,970.61,17,3,7.6,14,2,-4.0,0
CLT-1066,2024-09-24,Real Estate,Pro,6,729.34,14,3,7.0,6,3,40.0,0
CLT-1067,2023-02-02,Logistics,Basic,24,273.17,4,2,6.1,1,2,-5.0,0
CLT-1068,2024-06-29,Logistics,Basic,24,345.98,1,1,4.4,9,1,23.0,0
CLT-1069,2024-03-23,Real Estate,Basic,12,364.96,16,1,6.5,1,2,-7.0,0
CLT-1070,2023-03-04,eCommerce,Basic,24,246.02,25,5,3.3,0,0,31.0,1
CLT-1071,2023-08-26,Real Estate,Basic,24,247.8,15,6,1.8,3,1,58.0,0
CLT-1072,2024-02-08,eCommerce,Enterprise,12,2391.97,21,1,4.0,9,2,15.0,1
CLT-1073,2023-11-05,Real Estate,Basic,24,255.03,22,1,8.9,19,3,30.0,0
CLT-1074,2023-09-19,Logistics,Basic,6,337.55,16,0,1.3,6,0,10.0,0
CLT-1075,2024-08-07,eCommerce,pro,12,262.27,7,3,1.4,16,0,11.0,1
CLT-1076,2023-12-30,eCommerce,Basic,12,356.68,16,4,6.8,1,1,9.0,0
CLT-1077,2024-03-23,Education,Pro,12,1139.7,24,1,3.8,5,0,50.0,0
CLT-1078,2024-12-19,Healthcare,Pro,6,1244.08,18,7,6.5,15,2,-5.0,0
CLT-1079,2023-03-25,eCommerce,Pro,12,1232.14,20,2,8.0,3,1,22.0,0
CLT-1080,2023-11-20,Logistics,Pro,24,867.62,10,4,6.4,20,3,40.0,0
CLT-1081,2023-03-07,Education,Basic,6,245.29,12,5,3.1,0,0,53.0,0
CLT-1082,2025-04-14,Education,Pro,24,897.88,13,2,8.8,48,1,41.0,0
CLT-1083,2023-06-17,Education,Basic,6,367.53,14,2,7.2,30,0,28.0,0
CLT-1084,2025-01-07,Finance,Basic,6,250.76,23,3,5.1,20,3,16.0,1
CLT-1085,2023-06-21,Logistics,Basic,1,304.75,1,3,4.9,4,3,53.0,0
CLT-1086,2023-10-19,Healthcare,Pro,12,880.94,14,2,6.1,0,2,8.0,0
CLT-1087,2024-07-01,Finance,Basic,12,279.48,13,2,4.1,3,2,9.0,0
CLT-1088,2025-01-18,eCommerce,Basic,6,367.1,3,3,0.1,13,1,64.0,0
CLT-1089,2023-06-10,Healthcare,Pro,12,1075.91,19,5,7.3,9,3,39.0,1
CLT-1090,2023-07-11,Education,Basic,6,336.39,8,3,7.1,1,1,40.0,0
CLT-1091,2025-03-04,Finance,Pro,12,1211.82,11,6,0.0,1,2,45.0,1
CLT-1092,2023-10-17,Healthcare,Basic,24,258.56,29,2,6.5,21,0,28.0,0
CLT-1093,2023-07-08,Education,Basic,12,266.94,22,2,10.3,6,2,-6.0,0
CLT-1094,2024-10-31,Finance,Basic,12,309.02,19,3,1.6,5,3,36.0,1
CLT-1095,2023-03-24,Education,Pro,12,1074.18,17,3,4.8,7,1,30.0,0
CLT-1096,2025-02-19,SaaS,Basic,24,345.13,13,4,4.5,37,1,9.0,1
CLT-1097,2025-02-27,Logistics,Basic,6,253.33,30,3,10.0,24,0,3.0,0
CLT-1098,2025-02-09,eCommerce,Basic,6,412.52,20,1,8.4,43,1,29.0,0
CLT-1099,2023-09-23,Education,Enterprise,1,2457.6,8,4,2.4,29,2,-4.0,1
CLT-1100,2023-04-13,SaaS,Enterprise,12,2538.46,3,2,6.0,8,1,26.0,1
CLT-1101,2024-01-18,Finance,Pro,12,1056.76,19,3,11.9,10,1,23.0,0
CLT-1102,2023-10-29,eCommerce,Basic,12,410.13,14,2,3.1,11,4,27.0,0
CLT-1103,2025-05-13,Healthcare,Enterprise,6,2994.03,3,5,5.0,9,2,40.0,0
CLT-1104,2024-07-22,eCommerce,Pro,1,1235.58,17,1,6.5,12,0,46.0,0
CLT-1105,2025-04-29,Education,Pro,12,821.3,12,3,3.2,13,0,12.0,0
CLT-1106,2024-11-06,Healthcare,Basic,24,351.39,18,5,10.3,19,4,52.0,1
CLT-1107,2024-10-05,Education,Basic,6,389.2,18,3,3.6,8,1,25.0,0
CLT-1108,2023-04-11,SaaS,Basic,6,331.62,9,3,0.8,16,1,74.0,0
CLT-1109,2023-03-04,Real Estate,Enterprise,6,2543.26,19,2,3.4,8,0,15.0,0
CLT-1110,2023-02-11,Finance,Basic,12,417.26,10,3,7.0,39,2,-10.0,0
CLT-1111,2024-06-18,Finance,Basic,6,265.38,11,4,2.6,13,0,51.0,1
CLT-1112,2023-07-01,eCommerce,Basic,6,313.97,10,3,5.9,12,1,41.0,1
CLT-1113,2025-06-09,Healthcare,Pro,12,1191.62,23,5,6.7,7,2,60.0,0
CLT-1114,2023-04-30,Healthcare,Basic,6,402.09,12,1,,2,1,38.0,0
CLT-1115,2025-05-02,Real Estate,Enterprise,6,3470.57,25,2,3.3,1,0,89.0,0
CLT-1116,2024-08-23,Real Estate,Pro,1,1197.82,28,2,6.0,2,1,25.0,0
CLT-1117,2023-04-06,SaaS,Pro,24,747.52,8,3,7.1,25,0,56.0,0
CLT-1118,2023-02-22,Education,Basic,12,407.36,1,4,3.4,2,4,17.0,1
CLT-1119,2023-12-23,eCommerce,Pro,6,951.21,22,2,5.5,24,1,42.0,0
CLT-1120,2023-11-02,Healthcare,Pro,1,1071.87,11,3,4.1,7,3,47.0,1
CLT-1121,2023-10-11,Education,Pro,12,932.91,7,2,7.2,20,1,51.0,0
CLT-1122,2024-04-20,Logistics,Basic,24,386.46,9,1,6.6,11,0,49.0,0
CLT-1123,2023-04-27,Healthcare,Basic,1,343.67,11,5,3.9,12,2,-51.0,1
CLT-1124,2023-04-27,Finance,Basic,1,392.2,24,1,6.4,17,1,28.0,0
CLT-1125,2024-09-17,Healthcare,Basic,1,274.88,15,2,3.8,5,1,16.0,0
CLT-1126,2025-06-10,Real Estate,Basic,12,273.3,24,3,6.4,1,1,21.0,0
CLT-1127,2023-09-04,eCommerce,Basic,24,319.27,18,3,6.4,13,2,23.0,0
CLT-1128,2025-04-18,eCommerce,Basic,12,240.86,12,7,12.1,6,2,54.0,0
CLT-1129,2023-11-07,Real Estate,Pro,6,1094.14,11,3,4.0,10,1,35.0,0
CLT-1130,2023-10-30,Real Estate,Basic,12,293.29,18,6,4.6,14,3,17.0,0
CLT-1131,2023-03-23,Education,Enterprise,12,2835.95,21,3,3.1,3,2,-7.0,0
CLT-1132,2024-01-16,Healthcare,Pro,6,757.8,22,3,1.9,6,2,68.0,0
CLT-1133,2024-03-24,Finance,Basic,6,270.72,12,2,3.6,5,0,14.0,0
CLT-1134,2024-08-20,Logistics,Pro,6,1056.34,15,2,7.0,1,0,27.0,0
CLT-1135,2023-05-23,SaaS,Basic,12,295.02,19,1,7.2,7,0,83.0,0
CLT-1136,2023-06-19,Education,Enterprise,12,2322.08,11,5,5.9,14,0,14.0,0
CLT-1137,2024-01-24,Logistics,Basic,12,281.19,5,3,4.1,0,2,23.0,1
CLT-1138,2023-03-04,Healthcare,Pro,12,836.0,8,1,3.5,6,0,36.0,0
CLT-1139,2023-05-10,Real Estate,Basic,6,352.11,12,5,2.2,5,1,,0
CLT-1140,2024-07-20,Healthcare,Basic,6,270.18,19,5,3.3,10,0,-13.0,0
CLT-1141,2025-05-08,Logistics,Basic,1,305.29,24,4,1.1,2,1,18.0,0
CLT-1142,2024-05-30,Real Estate,Enterprise,24,3031.83,3,0,9.1,3,1,19.0,0
CLT-1143,2023-05-11,Real Estate,Pro,12,997.38,9,2,10.5,13,1,33.0,0
CLT-1144,2025-06-10,eCommerce,Basic,6,347.51,11,2,0.0,7,1,6.0,1
CLT-1145,2024-04-14,Healthcare,Basic,1,285.16,20,1,5.9,9,2,41.0,1
CLT-1146,2024-10-07,Real Estate,Basic,12,407.89,10,3,5.8,11,1,-24.0,0
CLT-1147,2023-06-27,Real Estate,Pro,12,943.49,11,3,5.6,1,2,28.0,0
CLT-1148,2024-06-04,Healthcare,Basic,12,291.65,3,2,3.2,12,0,39.0,0
CLT-1149,2023-03-10,Logistics,Basic,6,402.78,18,3,8.1,14,3,38.0,1
CLT-1150,2024-07-17,eCommerce,Pro,24,1073.86,13,5,6.2,8,1,26.0,0
CLT-1151,2023-07-02,Real Estate,Enterprise,12,2920.92,9,6,8.1,10,5,13.0,1
CLT-1152,2025-03-29,SaaS,Basic,12,399.61,12,4,2.8,27,1,25.0,0
CLT-1153,2023-02-19,Real Estate,Pro,12,751.61,23,1,0.9,25,1,61.0,0
CLT-1154,2024-08-10,Education,Basic,24,390.78,6,1,6.3,13,0,15.0,0
CLT-1155,2023-05-06,Education,Pro,24,1086.05,7,0,2.1,18,1,54.0,1
CLT-1156,2024-09-10,Logistics,Basic,12,304.8,24,2,8.2,25,0,58.0,0
CLT-1157,2024-03-20,Education,Pro,12,858.43,15,3,0.0,20,1,-13.0,0
CLT-1158,2025-05-20,SaaS,Pro,6,776.6,19,0,3.6,14,2,27.0,0
CLT-1159,2024-08-09,Healthcare,Pro,12,1228.18,17,2,3.2,17,2,6.0,0
CLT-1160,2023-12-01,Logistics,Basic,12,265.54,14,2,4.0,15,1,-8.0,0
CLT-1161,2023-03-20,Education,Enterprise,1,2389.16,11,2,5.8,10,0,50.0,0
CLT-1162,2024-06-20,Logistics,Basic,1,364.4,21,2,6.2,9,1,42.0,0
CLT-1163,2024-02-01,Education,Basic,24,367.83,23,2,6.9,23,1,37.0,0
CLT-1164,2023-02-17,eCommerce,Pro,24,806.82,23,1,7.3,18,1,3.0,0
CLT-1165,2024-06-07,eCommerce,Basic,24,386.54,5,2,4.5,4,2,35.0,0
CLT-1166,2023-07-08,SaaS,Pro,12,995.56,24,4,11.3,21,0,-3.0,0
CLT-1167,2023-07-30,Logistics,Pro,12,1178.17,11,3,9.2,50,1,32.0,0
CLT-1168,2023-01-09,Logistics,Basic,12,255.71,8,6,4.1,9,0,13.0,0
CLT-1169,2023-12-01,eCommerce,Enterprise,6,2064.24,13,1,4.6,9,2,56.0,0
CLT-1170,2023-07-16,Education,Basic,1,354.66,21,7,4.0,7,1,21.0,1
CLT-1171,2023-03-06,Education,Pro,24,801.01,18,5,6.1,16,1,36.0,1
CLT-1172,2024-01-26,Healthcare,Basic,1,334.49,12,5,2.1,3,1,36.0,0
CLT-1173,2023-07-18,eCommerce,Enterprise,12,2021.16,21,4,2.6,1,1,28.0,0
CLT-1174,2023-05-01,Education,Basic,12,380.39,15,4,0.0,6,2,33.0,0
CLT-1175,2024-02-25,Logistics,Basic,12,401.92,9,3,3.8,37,0,38.0,0
CLT-1176,2023-02-26,eCommerce,Basic,6,391.0,8,4,8.2,11,2,8.0,1
CLT-1177,2025-06-10,eCommerce,Enterprise,12,3437.53,17,3,4.5,17,0,40.0,1
CLT-1178,2024-02-28,Real Estate,Enterprise,6,3354.64,13,4,4.7,15,3,52.0,0
CLT-1179,2025-06-15,Real Estate,pro,12,959.77,3,3,5.8,4,1,40.0,0
CLT-1180,2025-03-04,eCommerce,Enterprise,6,2597.52,21,2,2.0,14,1,21.0,1
CLT-1181,2025-05-31,Finance,Enterprise,12,3344.28,10,4,5.1,3,2,34.0,0
CLT-1182,2024-05-03,Healthcare,Pro,12,1220.55,27,4,7.7,1,1,21.0,0
CLT-1183,2024-01-16,Healthcare,Basic,6,415.11,3,2,5.9,3,1,27.0,0
CLT-1184,2024-10-09,SaaS,Pro,6,1134.89,13,2,7.9,12,0,0.0,0
CLT-1185,2023-03-14,Finance,Pro,12,829.07,8,2,8.8,6,1,65.0,0
CLT-1186,2025-01-26,eCommerce,Basic,1,410.09,6,2,7.0,8,1,78.0,0
CLT-1187,2023-10-19,Finance,Basic,6,410.49,10,0,2.9,7,2,12.0,0
CLT-1188,2023-01-07,Real Estate,Pro,12,1079.71,28,3,4.0,7,0,50.0,0
CLT-1189,2023-08-02,Finance,Basic,24,394.31,15,7,10.8,16,1,66.0,0
CLT-1190,2023-08-07,eCommerce,Enterprise,12,2841.76,8,5,5.9,11,1,6.0,0
CLT-1191,2023-01-13,eCommerce,Basic,6,409.94,1,4,5.5,42,2,-24.0,0
CLT-1192,2024-08-24,Education,Basic,24,256.91,1,1,2.4,8,0,68.0,0
CLT-1193,2023-03-27,Education,Pro,12,1186.54,10,6,4.7,12,4,30.0,1
CLT-1194,2025-02-01,Real Estate,Basic,12,249.99,9,2,7.1,21,1,17.0,0
CLT-1195,2024-02-12,SaaS,Basic,12,301.04,12,3,5.0,0,2,31.0,0
CLT-1196,2024-10-08,Finance,Pro,6,793.08,1,3,3.4,1,1,21.0,0
CLT-1197,2023-11-02,Healthcare,Enterprise,6,2718.7,13,3,4.1,12,1,100.0,0
CLT-1198,2023-04-29,Finance,Basic,12,281.8,22,3,8.6,1,1,17.0,0
CLT-1199,2023-06-12,Finance,Basic,1,411.37,27,5,7.0,5,2,38.0,0
CLT-1200,2024-08-04,Education,Pro,12,1022.03,1,1,6.6,30,1,62.0,0
CLT-1201,2024-10-06,Logistics,Enterprise,6,3346.6,8,4,6.3,31,2,62.0,0
CLT-1202,2023-08-29,Logistics,Pro,6,870.15,7,4,1.5,1,3,57.0,0
CLT-1203,2023-11-18,Real Estate,Basic,1,244.68,15,1,5.8,7,2,19.0,0
CLT-1204,2025-04-30,SaaS,Basic,12,379.62,4,3,8.2,9,0,26.0,0
CLT-1205,2025-02-05,Healthcare,Basic,12,366.43,27,3,4.2,24,1,-24.0,0
CLT-1206,2024-01-07,Education,Basic,6,338.19,14,7,7.9,22,5,28.0,1
CLT-1207,2023-08-05,Education,Pro,6,1160.29,13,3,6.6,8,3,31.0,0
CLT-1208,2023-09-29,Real Estate,Basic,6,391.22,27,4,7.5,8,0,49.0,0
CLT-1209,2024-04-29,Logistics,Pro,12,1037.47,14,1,5.2,6,0,75.0,0
CLT-1210,2024-05-25,SaaS,Pro,6,1241.6,17,4,7.7,13,5,48.0,1
CLT-1211,2023-06-15,Real Estate,Pro,12,1108.64,8,1,0.6,6,1,57.0,0
CLT-1212,2023-03-01,Real Estate,Basic,6,361.84,3,4,5.1,1,0,30.0,0
CLT-1213,2024-03-21,Finance,Pro,6,915.17,9,5,7.1,8,2,62.0,0
CLT-1214,2024-12-18,Healthcare,Pro,12,721.22,31,4,5.9,5,2,30.0,0
CLT-1215,2023-05-18,eCommerce,Pro,12,850.11,19,6,8.3,30,1,59.0,0
CLT-1216,2024-01-03,Healthcare,Basic,1,377.51,16,6,4.5,5,1,50.0,0
CLT-1217,2023-05-26,eCommerce,Basic,24,367.78,6,2,3.4,2,1,40.0,0
CLT-1218,2023-08-06,Real Estate,Enterprise,1,2496.53,21,2,0.1,38,2,-9.0,1
CLT-1219,2024-07-05,Logistics,Basic,6,352.6,3,8,4.2,28,3,57.0,1
CLT-1220,2023-09-15,Education,Basic,6,275.15,1,2,6.6,5,0,39.0,0
CLT-1221,2023-08-26,Finance,Basic,12,287.45,10,6,7.3,4,2,48.0,0
CLT-1222,2025-06-15,SaaS,Pro,12,1231.6,30,4,0.8,6,2,38.0,0
CLT-1223,2023-06-05,eCommerce,Enterprise,1,2619.77,29,0,8.5,19,2,42.0,0
CLT-1224,2023-06-20,Healthcare,Basic,24,284.1,10,3,2.1,18,0,63.0,0
CLT-1225,2025-04-16,eCommerce,Enterprise,12,2730.66,9,8,4.6,0,0,18.0,1
CLT-1226,2024-05-10,Education,Basic,24,309.66,1,2,3.3,15,1,42.0,0
CLT-1227,2023-02-08,SaaS,Pro,12,1113.95,15,2,6.3,1,0,11.0,0
CLT-1228,2024-01-18,SaaS,Pro,24,1239.54,15,3,5.3,6,0,44.0,0
CLT-1229,2024-05-23,Finance,Basic,12,346.51,20,2,7.0,3,2,36.0,0
CLT-1230,2023-08-16,Finance,Basic,6,346.41,21,4,10.5,2,4,14.0,0
CLT-1231,2024-05-08,eCommerce,Basic,12,305.67,12,0,6.2,10,1,32.0,1
CLT-1232,2024-08-06,Healthcare,Enterprise,12,2846.95,18,10,3.3,18,2,16.0,1
CLT-1233,2023-08-14,Real Estate,Pro,12,892.44,8,2,6.4,7,0,21.0,0
CLT-1234,2025-01-01,Real Estate,Enterprise,12,2001.64,18,4,10.8,17,3,39.0,1
CLT-1235,2024-02-12,Finance,Pro,1,1187.69,10,5,7.0,9,1,37.0,0
CLT-1236,2025-05-17,Healthcare,Basic,12,317.3,18,3,7.8,11,3,-18.0,1
CLT-1237,2023-03-20,SaaS,Pro,6,985.73,17,5,0.2,4,1,39.0,0
CLT-1238,2023-10-19,Healthcare,Basic,24,255.03,15,8,6.2,31,0,22.0,0
CLT-1239,2024-10-11,Real Estate,Basic,6,390.68,20,0,4.2,30,2,20.0,1
CLT-1240,2025-03-16,Real Estate,Pro,1,811.98,1,5,3.0,9,1,2.0,0
CLT-1241,2023-07-19,Real Estate,Pro,12,941.74,5,2,4.9,8,0,29.0,0
CLT-1242,2025-06-01,Finance,Basic,12,391.25,12,1,5.3,0,1,17.0,1
CLT-1243,2023-06-24,Education,Pro,12,967.2,2,3,3.1,5,5,62.0,1
CLT-1244,2024-01-10,eCommerce,Pro,24,1222.82,11,8,5.6,26,2,-14.0,1
CLT-1245,2023-10-11,Healthcare,Enterprise,6,2313.97,11,2,4.5,23,1,6.0,0
CLT-1246,2024-01-17,Logistics,Pro,12,1106.23,24,3,7.1,6,3,4.0,0
CLT-1247,2025-03-23,Healthcare,Basic,6,416.04,15,1,5.7,1,0,36.0,0
CLT-1248,2024-10-21,Healthcare,Basic,12,338.93,22,3,6.1,30,1,59.0,0
CLT-1249,2024-12-17,eCommerce,Basic,12,364.59,16,1,7.9,3,2,43.0,0
CLT-1250,2023-08-17,eCommerce,Pro,1,932.34,10,4,6.7,2,1,3.0,1
CLT-1251,2025-05-02,Education,Enterprise,12,3127.01,15,0,5.0,40,0,19.0,0
CLT-1252,2024-01-27,Education,Basic,12,403.6,20,4,0.0,8,1,10.0,0
CLT-1253,2024-08-09,Education,Basic,6,366.55,24,1,6.5,20,1,43.0,0
CLT-1254,2024-09-19,Healthcare,Basic,24,408.47,13,5,2.3,20,1,19.0,1
CLT-1255,2024-08-19,SaaS,Pro,12,1037.87,1,5,4.7,28,1,-5.0,0
CLT-1256,2024-06-25,eCommerce,Pro,6,1031.65,1,1,6.1,2,1,45.0,0
CLT-1257,2024-03-08,Healthcare,Basic,12,294.83,11,1,9.0,6,2,62.0,0
CLT-1258,2024-08-05,Real Estate,Basic,6,367.73,1,3,10.5,1,0,26.0,0
CLT-1259,2025-03-25,Finance,Pro,1,1196.25,28,4,2.2,12,4,33.0,0
CLT-1260,2023-12-17,Finance,Basic,12,356.34,19,7,1.1,44,2,-8.0,1
CLT-1261,2024-04-04,SaaS,Pro,1,845.84,9,5,6.0,11,2,-21.0,1
CLT-1262,2023-06-12,Logistics,Basic,1,337.94,5,4,5.7,12,1,-16.0,1
CLT-1263,2023-11-16,Healthcare,Basic,12,376.07,22,4,1.4,18,1,29.0,1
CLT-1264,2024-11-25,eCommerce,Enterprise,1,3409.04,5,2,5.0,9,1,22.0,0
CLT-1265,2024-07-30,Real Estate,Basic,12,268.19,6,7,,7,1,44.0,0
CLT-1266,2023-07-10,SaaS,Basic,12,262.95,8,3,1.3,10,0,25.0,0
CLT-1267,2024-05-06,Healthcare,Basic,1,314.33,15,5,2.0,4,1,55.0,0
CLT-1268,2024-12-31,Real Estate,Basic,12,262.61,19,3,3.1,4,0,52.0,0
CLT-1269,2023-04-22,eCommerce,Basic,1,416.48,24,3,4.4,7,4,22.0,0
CLT-1270,2023-02-25,Logistics,Basic,12,316.37,22,5,7.1,8,1,5.0,1
CLT-1271,2023-12-20,Real Estate,Basic,1,336.05,14,4,4.0,17,2,-18.0,1
CLT-1272,2024-08-13,Education,Basic,24,280.88,22,6,5.2,8,0,66.0,1
CLT-1273,2023-10-09,eCommerce,Pro,6,962.53,9,7,11.7,28,2,6.0,0
CLT-1274,2025-01-08,SaaS,Pro,12,1251.73,1,2,2.1,13,1,-7.0,0
CLT-1275,2025-02-01,Real Estate,Basic,1,327.96,9,3,3.0,21,2,33.0,0
CLT-1276,2024-04-24,eCommerce,Basic,6,241.59,8,2,7.0,3,2,-7.0,0
CLT-1277,2023-12-07,Logistics,Pro,12,850.96,9,3,8.0,11,0,33.0,0
CLT-1278,2023-02-07,SaaS,Enterprise,12,3467.68,6,4,6.2,42,4,22.0,0
CLT-1279,2025-01-09,Logistics,Enterprise,24,3483.6,10,1,10.4,0,1,53.0,0
CLT-1280,2025-03-16,Finance,Basic,1,277.89,19,4,6.0,9,0,51.0,0
CLT-1281,2024-02-03,SaaS,Basic,1,350.75,28,2,0.0,7,5,58.0,1
CLT-1282,2024-04-09,Healthcare,Basic,6,253.84,1,4,5.3,1,1,35.0,0
CLT-1283,2024-11-09,Education,Basic,6,343.94,4,1,3.3,1,4,9.0,0
CLT-1284,2024-09-17,Real Estate,Pro,24,788.0,8,3,9.2,10,1,4.0,0
CLT-1285,2023-05-02,eCommerce,Basic,24,387.36,20,2,7.9,15,1,17.0,0
CLT-1286,2024-08-28,eCommerce,Basic,24,409.12,12,4,0.2,29,2,80.0,1
CLT-1287,2025-04-12,Education,Basic,1,271.14,8,2,9.1,20,1,24.0,0
CLT-1288,2024-11-06,Finance,Pro,12,969.86,20,5,7.8,39,3,34.0,0
CLT-1289,2024-03-08,Healthcare,Basic,12,258.37,22,2,4.0,0,1,68.0,0
